Date,Country,City,Street,Type,Subtype,Location
,FR,Verrières-le-Buisson,Rue Marius Hue,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.2804 48.743713)
,FR,Longjumeau,Rue de Ballainvilliers,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.299875 48.678934)
,FR,Verrières-le-Buisson,Rue Marius Hue,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.279025 48.742929)
,FR,Villebon-sur-Yvette,Rue Le Perdriel,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.224246 48.697176)
,FR,Wissous,Rue Marcellin Berthelot,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.317148 48.739411)
,FR,Longjumeau,,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.286577 48.694776)
,FR,Wissous,Rue Marcellin Berthelot,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.316791 48.738977)
,FR,Orsay,Boulevard de la Terrasse,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.199606 48.699915)
,FR,Palaiseau,Rue Théodore de Banville,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.207071 48.705463)
,FR,Wissous,Rue Marcellin Berthelot,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.316172 48.737796)
,FR,Verrières-le-Buisson,Rue Marius Hue,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.277085 48.741857)
,FR,Saulx-les-Chartreux,Rue Léon Chartier,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.277276 48.686023)
,FR,Wissous,Rue Marcellin Berthelot,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.316773 48.739006)
,FR,Longjumeau,,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.286592 48.694918)
,FR,Verrières-le-Buisson,Rue Marius Hue,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.279143 48.742994)
,FR,Nozay,Rue du Bois Clair,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.246332 48.661567)
,FR,Wissous,Rue Marcellin Berthelot,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(2.319033 48.741367)
